"From the %s selected subscribers there are %s synct to E-mark Mail. %s Subscribers where not active or Unsubscribed.","Van de %s geselecteerde abbonnees zijn er %s gesynct naar E-mark Mail. %s abbonnees zijn niet actief of uitgeschreven."
"The Api URl is not valid.","De Api URL is niet geldig"
"Can't login into Api, please check user and password.","Kan niet inloggen in de Api, kijk uw gebruikers naam en wachtwoord na."
"Api user is mandatory.","De Api gebruikers naam is verplicht."
"There went something wrong try again later.","Er is iets fout gegaan. Probeer het later opnieuw."
"This database doesn\'t exists.","Deze database bestaat niet."
"E-mark Mail Sync","Synchroniseer met Emark Mail"
"-- Magento fields --","-- Magento velden --"
"-- E-mark Mail fields --","-- E-mark Mail velden --"
"Magento Fields","Magento Velden"
"E-mark Mail Fields","E-mark Mail Velden"
"Add E-mark connect field","Voeg E-mark connect veld toe"
"Don't forget to connect the labels in Configuration->E-Mark Mail->Customer settings","Vergeet niet om de velden te koppelen tussen magento en Emark Mail in Systeem->Configuratie->Klanten instellingen"
"Successfully made 2 new selections name: 'Magento Guest - %s and 'Magento Registered User - %s'","Met success 2 nieuwe selecties aangemaakt genaamd: 'Magento Guest - %s en 'Magento Registered User - %s'"
"General settings","Algemene instellingen"
"Customer settings","Klanten instellingen"
"Password","Wachtwoord"
"Connect Fields:","Velden:"
"Fields","Velden"
"User","Gebruikersnaam"
